Sheet1/Response ID,Sheet1/Would you work for a company whose mission is not clearly defined and publicly posted.,Sheet1/How likely would you work for a company whose mission is misaligned with their public actions or even their product ?,Sheet1/How likely would you work for a company whose mission is not bringing social impact ?,"Sheet1/For the First 3 years of your career, what is your minimum expected monthly salary in Hand?","Sheet1/After 5 years of your career from now, what is your minimum expected monthly salary in Hand?",Sheet1/Would you work for a company that has Laid-Off Employees recently ?
1557,No,Will work for them,7,>50k,>151k,No
1558,No,Will NOT work for them,4,>50k,>151k,I have NO other choice
1559,No,Will NOT work for them,7,31k to 40k,111k to 130k,No
1560,No,Will NOT work for them,1,26k to 30k,50k to 70k,No
1561,Yes,Will work for them,4,>50k,>151k,No
1562,No,Will NOT work for them,5,31k to 40k,91k to 110k,"Yes, I Understand this is gonna happen everywhere"
1563,Yes,Will work for them,2,41k to 50k,91k to 110k,"Yes, I Understand this is gonna happen everywhere"
1564,No,Will work for them,6,21k to 25k,131k to 150k,No
1565,Yes,Will work for them,3,>50k,131k to 150k,"Yes, I Understand this is gonna happen everywhere"
1566,No,Will NOT work for them,1,>50k,111k to 130k,No
1567,No,Will NOT work for them,6,>50k,>151k,No
1568,No,Will NOT work for them,10,41k to 50k,91k to 110k,No
1569,No,Will work for them,10,31k to 40k,91k to 110k,"Yes, I Understand this is gonna happen everywhere"
1570,No,Will NOT work for them,5,31k to 40k,111k to 130k,"Yes, I Understand this is gonna happen everywhere"
1571,Yes,Will NOT work for them,4,31k to 40k,71k to 90k,"Yes, I Understand this is gonna happen everywhere"
1572,No,Will NOT work for them,1,31k to 40k,111k to 130k,"Yes, I Understand this is gonna happen everywhere"
1573,Yes,Will NOT work for them,7,41k to 50k,111k to 130k,"Yes, I Understand this is gonna happen everywhere"
1574,No,Will work for them,3,16k to 20k,71k to 90k,"Yes, I Understand this is gonna happen everywhere"
1575,No,Will NOT work for them,5,>50k,>151k,No
1576,Yes,Will work for them,6,31k to 40k,71k to 90k,Yes
1577,No,Will work for them,5,16k to 20k,71k to 90k,Yes
1578,No,Will NOT work for them,8,>50k,111k to 130k,"Yes, I Understand this is gonna happen everywhere"
1579,No,Will NOT work for them,4,>50k,>151k,"Yes, I Understand this is gonna happen everywhere"
1580,No,Will NOT work for them,1,26k to 30k,111k to 130k,No
1581,No,Will NOT work for them,7,5K to 10K,71k to 90k,"Yes, I Understand this is gonna happen everywhere"
1582,Yes,Will work for them,10,>50k,>151k,I have NO other choice
1583,Yes,Will work for them,3,>50k,>151k,No
1584,No,Will NOT work for them,5,31k to 40k,50k to 70k,No
1585,No,Will NOT work for them,2,21k to 25k,30k to 50k,No
1586,No,Will NOT work for them,1,41k to 50k,131k to 150k,Yes
1587,No,Will NOT work for them,5,41k to 50k,111k to 130k,"Yes, I Understand this is gonna happen everywhere"
1588,No,Will work for them,5,26k to 30k,91k to 110k,"Yes, I Understand this is gonna happen everywhere"
1589,No,Will NOT work for them,5,5K to 10K,30k to 50k,"Yes, I Understand this is gonna happen everywhere"
1590,No,Will NOT work for them,8,>50k,111k to 130k,"Yes, I Understand this is gonna happen everywhere"
1591,No,Will NOT work for them,2,>50k,111k to 130k,No
1592,No,Will NOT work for them,5,>50k,>151k,No
1593,Yes,Will NOT work for them,5,41k to 50k,111k to 130k,"Yes, I Understand this is gonna happen everywhere"
1594,No,Will NOT work for them,5,41k to 50k,111k to 130k,"Yes, I Understand this is gonna happen everywhere"
1595,Yes,Will work for them,10,41k to 50k,>151k,"Yes, I Understand this is gonna happen everywhere"
1596,No,Will NOT work for them,1,31k to 40k,91k to 110k,"Yes, I Understand this is gonna happen everywhere"
1597,Yes,Will work for them,9,>50k,>151k,"Yes, I Understand this is gonna happen everywhere"
1598,No,Will NOT work for them,7,>50k,111k to 130k,"Yes, I Understand this is gonna happen everywhere"
1599,Yes,Will NOT work for them,5,>50k,>151k,"Yes, I Understand this is gonna happen everywhere"
1600,Yes,Will NOT work for them,5,21k to 25k,>151k,No
1601,No,Will NOT work for them,1,41k to 50k,>151k,"Yes, I Understand this is gonna happen everywhere"
1602,No,Will NOT work for them,8,>50k,>151k,"Yes, I Understand this is gonna happen everywhere"
1603,No,Will NOT work for them,8,41k to 50k,71k to 90k,"Yes, I Understand this is gonna happen everywhere"
1604,No,Will NOT work for them,1,26k to 30k,71k to 90k,"Yes, I Understand this is gonna happen everywhere"
1605,No,Will NOT work for them,6,>50k,>151k,"Yes, I Understand this is gonna happen everywhere"
1606,No,Will NOT work for them,4,41k to 50k,131k to 150k,"Yes, I Understand this is gonna happen everywhere"
1607,No,Will NOT work for them,10,>50k,>151k,"Yes, I Understand this is gonna happen everywhere"
1608,No,Will NOT work for them,3,>50k,131k to 150k,"Yes, I Understand this is gonna happen everywhere"
1609,No,Will NOT work for them,4,>50k,>151k,No
1610,No,Will NOT work for them,5,31k to 40k,111k to 130k,"Yes, I Understand this is gonna happen everywhere"
1611,No,Will NOT work for them,6,21k to 25k,111k to 130k,"Yes, I Understand this is gonna happen everywhere"
1612,No,Will NOT work for them,3,41k to 50k,131k to 150k,"Yes, I Understand this is gonna happen everywhere"
1613,Yes,Will NOT work for them,6,>50k,>151k,Yes
1614,Yes,Will NOT work for them,7,41k to 50k,91k to 110k,"Yes, I Understand this is gonna happen everywhere"
1615,No,Will NOT work for them,2,>50k,91k to 110k,"Yes, I Understand this is gonna happen everywhere"
1616,No,Will work for them,5,>50k,>151k,"Yes, I Understand this is gonna happen everywhere"
1617,No,Will work for them,7,41k to 50k,91k to 110k,"Yes, I Understand this is gonna happen everywhere"
1618,No,Will work for them,10,>50k,>151k,No
1619,No,Will NOT work for them,2,>50k,131k to 150k,"Yes, I Understand this is gonna happen everywhere"
1620,No,Will NOT work for them,4,21k to 25k,71k to 90k,"Yes, I Understand this is gonna happen everywhere"
1621,No,Will work for them,2,26k to 30k,111k to 130k,Yes
1622,No,Will NOT work for them,1,>50k,131k to 150k,"Yes, I Understand this is gonna happen everywhere"
1623,No,Will NOT work for them,4,31k to 40k,111k to 130k,"Yes, I Understand this is gonna happen everywhere"
1624,No,Will NOT work for them,3,26k to 30k,111k to 130k,"Yes, I Understand this is gonna happen everywhere"
1625,No,Will NOT work for them,6,>50k,>151k,"Yes, I Understand this is gonna happen everywhere"
1626,No,Will NOT work for them,5,41k to 50k,71k to 90k,"Yes, I Understand this is gonna happen everywhere"
1627,No,Will NOT work for them,5,5K to 10K,30k to 50k,"Yes, I Understand this is gonna happen everywhere"
1628,No,Will NOT work for them,7,>50k,>151k,"Yes, I Understand this is gonna happen everywhere"
1629,No,Will NOT work for them,5,31k to 40k,111k to 130k,No
1630,No,Will NOT work for them,4,41k to 50k,111k to 130k,No
1631,No,Will NOT work for them,5,26k to 30k,50k to 70k,"Yes, I Understand this is gonna happen everywhere"
1632,No,Will NOT work for them,4,26k to 30k,111k to 130k,No
1633,Yes,Will NOT work for them,5,26k to 30k,>151k,I have NO other choice
1634,No,Will NOT work for them,1,41k to 50k,71k to 90k,"Yes, I Understand this is gonna happen everywhere"
1635,No,Will NOT work for them,6,>50k,111k to 130k,"Yes, I Understand this is gonna happen everywhere"
1636,No,Will NOT work for them,1,21k to 25k,50k to 70k,No
1637,No,Will NOT work for them,6,>50k,>151k,"Yes, I Understand this is gonna happen everywhere"
1638,No,Will NOT work for them,5,21k to 25k,71k to 90k,"Yes, I Understand this is gonna happen everywhere"
1639,No,Will work for them,8,41k to 50k,131k to 150k,"Yes, I Understand this is gonna happen everywhere"
1640,Yes,Will NOT work for them,5,26k to 30k,50k to 70k,"Yes, I Understand this is gonna happen everywhere"
1641,No,Will NOT work for them,8,41k to 50k,131k to 150k,Yes
1642,No,Will NOT work for them,9,>50k,50k to 70k,"Yes, I Understand this is gonna happen everywhere"
1643,No,Will work for them,10,41k to 50k,111k to 130k,No
1644,No,Will NOT work for them,8,>50k,91k to 110k,Yes
1645,Yes,Will work for them,7,>50k,91k to 110k,No
1646,No,Will NOT work for them,8,26k to 30k,111k to 130k,"Yes, I Understand this is gonna happen everywhere"
1647,No,Will NOT work for them,1,26k to 30k,>151k,"Yes, I Understand this is gonna happen everywhere"
1648,No,Will NOT work for them,3,21k to 25k,71k to 90k,No
1649,No,Will NOT work for them,9,>50k,>151k,"Yes, I Understand this is gonna happen everywhere"
1650,No,Will NOT work for them,1,31k to 40k,>151k,I have NO other choice
1651,No,Will NOT work for them,1,41k to 50k,131k to 150k,No
1652,Yes,Will work for them,10,26k to 30k,71k to 90k,I have NO other choice
1653,Yes,Will NOT work for them,8,31k to 40k,71k to 90k,"Yes, I Understand this is gonna happen everywhere"
1654,No,Will NOT work for them,3,31k to 40k,111k to 130k,No
1655,No,Will NOT work for them,7,21k to 25k,71k to 90k,"Yes, I Understand this is gonna happen everywhere"
1656,Yes,Will work for them,2,>50k,111k to 130k,"Yes, I Understand this is gonna happen everywhere"
1657,No,Will NOT work for them,3,26k to 30k,71k to 90k,"Yes, I Understand this is gonna happen everywhere"
1658,No,Will NOT work for them,5,>50k,>151k,"Yes, I Understand this is gonna happen everywhere"
1659,Yes,Will work for them,9,21k to 25k,50k to 70k,"Yes, I Understand this is gonna happen everywhere"
1660,No,Will NOT work for them,6,>50k,>151k,"Yes, I Understand this is gonna happen everywhere"
1661,No,Will NOT work for them,1,26k to 30k,50k to 70k,No
1662,No,Will NOT work for them,5,41k to 50k,111k to 130k,I have NO other choice
1663,No,Will NOT work for them,4,11k to 15k,50k to 70k,"Yes, I Understand this is gonna happen everywhere"
1664,No,Will NOT work for them,4,5K to 10K,50k to 70k,No
1665,Yes,Will NOT work for them,7,>50k,91k to 110k,"Yes, I Understand this is gonna happen everywhere"
1666,No,Will NOT work for them,2,11k to 15k,30k to 50k,"Yes, I Understand this is gonna happen everywhere"
1667,Yes,Will work for them,3,41k to 50k,91k to 110k,"Yes, I Understand this is gonna happen everywhere"
1668,Yes,Will NOT work for them,10,26k to 30k,111k to 130k,No
1669,No,Will NOT work for them,2,31k to 40k,50k to 70k,"Yes, I Understand this is gonna happen everywhere"
1670,No,Will NOT work for them,5,31k to 40k,50k to 70k,"Yes, I Understand this is gonna happen everywhere"
1671,No,Will NOT work for them,7,41k to 50k,91k to 110k,No
1672,No,Will work for them,7,>50k,71k to 90k,I have NO other choice
1673,No,Will NOT work for them,1,21k to 25k,50k to 70k,"Yes, I Understand this is gonna happen everywhere"
1674,No,Will NOT work for them,8,21k to 25k,91k to 110k,"Yes, I Understand this is gonna happen everywhere"
1675,No,Will NOT work for them,2,31k to 40k,30k to 50k,No
1676,No,Will NOT work for them,6,>50k,>151k,"Yes, I Understand this is gonna happen everywhere"
1677,Yes,Will work for them,8,>50k,111k to 130k,"Yes, I Understand this is gonna happen everywhere"
1678,No,Will work for them,3,>50k,131k to 150k,Yes
1679,No,Will NOT work for them,10,>50k,>151k,"Yes, I Understand this is gonna happen everywhere"
1680,Yes,Will work for them,5,31k to 40k,50k to 70k,No
1681,No,Will NOT work for them,7,26k to 30k,50k to 70k,"Yes, I Understand this is gonna happen everywhere"
1682,No,Will NOT work for them,6,16k to 20k,91k to 110k,"Yes, I Understand this is gonna happen everywhere"
1683,Yes,Will work for them,5,41k to 50k,>151k,"Yes, I Understand this is gonna happen everywhere"
1684,No,Will NOT work for them,5,31k to 40k,111k to 130k,"Yes, I Understand this is gonna happen everywhere"
1685,Yes,Will work for them,9,26k to 30k,30k to 50k,"Yes, I Understand this is gonna happen everywhere"
1686,No,Will NOT work for them,6,16k to 20k,71k to 90k,"Yes, I Understand this is gonna happen everywhere"
1687,No,Will NOT work for them,1,26k to 30k,131k to 150k,"Yes, I Understand this is gonna happen everywhere"
1688,Yes,Will NOT work for them,10,31k to 40k,111k to 130k,"Yes, I Understand this is gonna happen everywhere"
1689,No,Will NOT work for them,3,>50k,>151k,I have NO other choice
1690,Yes,Will NOT work for them,6,26k to 30k,30k to 50k,No
1691,No,Will NOT work for them,3,21k to 25k,71k to 90k,"Yes, I Understand this is gonna happen everywhere"
1692,No,Will NOT work for them,5,>50k,>151k,No
1693,Yes,Will NOT work for them,5,31k to 40k,111k to 130k,No
1694,Yes,Will work for them,6,41k to 50k,91k to 110k,Yes
1695,No,Will work for them,6,>50k,111k to 130k,"Yes, I Understand this is gonna happen everywhere"
1696,No,Will NOT work for them,5,26k to 30k,71k to 90k,"Yes, I Understand this is gonna happen everywhere"
1697,No,Will NOT work for them,6,31k to 40k,>151k,"Yes, I Understand this is gonna happen everywhere"
1698,No,Will NOT work for them,2,41k to 50k,50k to 70k,"Yes, I Understand this is gonna happen everywhere"
1699,No,Will NOT work for them,6,>50k,91k to 110k,"Yes, I Understand this is gonna happen everywhere"
1700,No,Will NOT work for them,6,31k to 40k,91k to 110k,"Yes, I Understand this is gonna happen everywhere"
1701,No,Will NOT work for them,9,41k to 50k,>151k,No
1702,No,Will NOT work for them,5,41k to 50k,91k to 110k,"Yes, I Understand this is gonna happen everywhere"
1703,No,Will NOT work for them,8,>50k,>151k,No
1704,Yes,Will NOT work for them,1,41k to 50k,71k to 90k,"Yes, I Understand this is gonna happen everywhere"
1705,No,Will work for them,6,>50k,131k to 150k,"Yes, I Understand this is gonna happen everywhere"
1706,Yes,Will work for them,1,26k to 30k,50k to 70k,No
1707,No,Will NOT work for them,8,>50k,>151k,No
1708,No,Will NOT work for them,7,21k to 25k,71k to 90k,"Yes, I Understand this is gonna happen everywhere"
1709,No,Will NOT work for them,3,>50k,131k to 150k,"Yes, I Understand this is gonna happen everywhere"
1710,No,Will NOT work for them,4,>50k,>151k,"Yes, I Understand this is gonna happen everywhere"
1711,No,Will NOT work for them,7,41k to 50k,91k to 110k,No
1712,No,Will NOT work for them,9,31k to 40k,111k to 130k,I have NO other choice
1713,No,Will NOT work for them,5,>50k,>151k,"Yes, I Understand this is gonna happen everywhere"
1714,Yes,Will NOT work for them,4,>50k,111k to 130k,I have NO other choice
1715,Yes,Will NOT work for them,4,41k to 50k,91k to 110k,"Yes, I Understand this is gonna happen everywhere"
1716,No,Will NOT work for them,3,>50k,>151k,"Yes, I Understand this is gonna happen everywhere"
1717,No,Will NOT work for them,1,>50k,131k to 150k,"Yes, I Understand this is gonna happen everywhere"
1718,Yes,Will work for them,8,26k to 30k,91k to 110k,"Yes, I Understand this is gonna happen everywhere"
1719,Yes,Will NOT work for them,5,21k to 25k,50k to 70k,"Yes, I Understand this is gonna happen everywhere"
1720,No,Will NOT work for them,3,>50k,>151k,No
1721,No,Will NOT work for them,5,16k to 20k,91k to 110k,Yes
1722,No,Will NOT work for them,2,>50k,>151k,"Yes, I Understand this is gonna happen everywhere"
1723,No,Will NOT work for them,8,21k to 25k,111k to 130k,"Yes, I Understand this is gonna happen everywhere"
1724,No,Will NOT work for them,10,>50k,>151k,No
1725,Yes,Will NOT work for them,3,41k to 50k,111k to 130k,"Yes, I Understand this is gonna happen everywhere"
1726,No,Will work for them,5,31k to 40k,50k to 70k,"Yes, I Understand this is gonna happen everywhere"
1727,No,Will NOT work for them,1,31k to 40k,91k to 110k,No
1728,No,Will NOT work for them,1,16k to 20k,111k to 130k,No
1729,No,Will NOT work for them,4,>50k,>151k,"Yes, I Understand this is gonna happen everywhere"
1730,No,Will work for them,8,26k to 30k,91k to 110k,"Yes, I Understand this is gonna happen everywhere"
1731,No,Will NOT work for them,4,31k to 40k,131k to 150k,"Yes, I Understand this is gonna happen everywhere"
1732,Yes,Will NOT work for them,8,31k to 40k,91k to 110k,"Yes, I Understand this is gonna happen everywhere"
1733,No,Will NOT work for them,2,>50k,>151k,"Yes, I Understand this is gonna happen everywhere"
1734,Yes,Will work for them,5,16k to 20k,71k to 90k,No
1735,No,Will NOT work for them,2,31k to 40k,71k to 90k,"Yes, I Understand this is gonna happen everywhere"
1736,Yes,Will work for them,4,31k to 40k,131k to 150k,Yes
1737,No,Will NOT work for them,1,41k to 50k,111k to 130k,No
1738,Yes,Will NOT work for them,3,31k to 40k,71k to 90k,"Yes, I Understand this is gonna happen everywhere"
1739,No,Will NOT work for them,8,41k to 50k,111k to 130k,"Yes, I Understand this is gonna happen everywhere"
1740,No,Will NOT work for them,2,41k to 50k,>151k,"Yes, I Understand this is gonna happen everywhere"
1741,Yes,Will NOT work for them,1,11k to 15k,30k to 50k,No
1742,No,Will NOT work for them,4,31k to 40k,50k to 70k,"Yes, I Understand this is gonna happen everywhere"
1743,Yes,Will work for them,10,>50k,>151k,No
1744,Yes,Will NOT work for them,4,>50k,>151k,"Yes, I Understand this is gonna happen everywhere"
1745,No,Will NOT work for them,3,21k to 25k,131k to 150k,"Yes, I Understand this is gonna happen everywhere"
1746,No,Will NOT work for them,4,41k to 50k,>151k,"Yes, I Understand this is gonna happen everywhere"
1747,No,Will NOT work for them,3,>50k,>151k,No
1748,No,Will NOT work for them,3,31k to 40k,50k to 70k,No
1749,No,Will work for them,5,16k to 20k,50k to 70k,"Yes, I Understand this is gonna happen everywhere"
1750,No,Will NOT work for them,5,31k to 40k,71k to 90k,"Yes, I Understand this is gonna happen everywhere"
1751,No,Will NOT work for them,1,26k to 30k,71k to 90k,No
1752,Yes,Will NOT work for them,4,16k to 20k,50k to 70k,"Yes, I Understand this is gonna happen everywhere"
1753,Yes,Will work for them,8,31k to 40k,71k to 90k,No
1754,Yes,Will work for them,10,41k to 50k,71k to 90k,"Yes, I Understand this is gonna happen everywhere"
1755,Yes,Will NOT work for them,1,26k to 30k,91k to 110k,I have NO other choice
1756,No,Will NOT work for them,2,31k to 40k,131k to 150k,I have NO other choice
1757,No,Will NOT work for them,5,41k to 50k,111k to 130k,No
1758,No,Will NOT work for them,1,>50k,111k to 130k,No
1759,Yes,Will work for them,3,11k to 15k,71k to 90k,I have NO other choice
1760,No,Will NOT work for them,2,26k to 30k,91k to 110k,"Yes, I Understand this is gonna happen everywhere"
1761,Yes,Will work for them,7,21k to 25k,111k to 130k,Yes
1762,Yes,Will work for them,6,31k to 40k,91k to 110k,I have NO other choice
1763,Yes,Will NOT work for them,4,26k to 30k,50k to 70k,"Yes, I Understand this is gonna happen everywhere"
1764,No,Will NOT work for them,2,31k to 40k,91k to 110k,"Yes, I Understand this is gonna happen everywhere"
1765,No,Will NOT work for them,1,41k to 50k,111k to 130k,No
1766,Yes,Will NOT work for them,5,26k to 30k,30k to 50k,"Yes, I Understand this is gonna happen everywhere"
1767,No,Will NOT work for them,7,26k to 30k,91k to 110k,"Yes, I Understand this is gonna happen everywhere"
1768,No,Will NOT work for them,5,41k to 50k,111k to 130k,"Yes, I Understand this is gonna happen everywhere"
1769,No,Will work for them,3,>50k,>151k,No
1770,No,Will NOT work for them,8,26k to 30k,91k to 110k,"Yes, I Understand this is gonna happen everywhere"
1771,Yes,Will NOT work for them,3,>50k,>151k,"Yes, I Understand this is gonna happen everywhere"
1772,No,Will work for them,4,>50k,>151k,"Yes, I Understand this is gonna happen everywhere"
1773,No,Will NOT work for them,4,11k to 15k,111k to 130k,"Yes, I Understand this is gonna happen everywhere"
1774,No,Will NOT work for them,8,41k to 50k,131k to 150k,"Yes, I Understand this is gonna happen everywhere"
1775,No,Will NOT work for them,5,16k to 20k,91k to 110k,"Yes, I Understand this is gonna happen everywhere"
1776,No,Will NOT work for them,7,31k to 40k,131k to 150k,"Yes, I Understand this is gonna happen everywhere"
1777,No,Will work for them,7,41k to 50k,91k to 110k,No
1778,Yes,Will work for them,5,31k to 40k,111k to 130k,I have NO other choice
1779,No,Will NOT work for them,6,41k to 50k,>151k,"Yes, I Understand this is gonna happen everywhere"
1780,No,Will NOT work for them,10,21k to 25k,91k to 110k,No
1781,No,Will work for them,4,31k to 40k,91k to 110k,Yes
1782,No,Will NOT work for them,5,41k to 50k,91k to 110k,"Yes, I Understand this is gonna happen everywhere"
1783,No,Will NOT work for them,7,31k to 40k,71k to 90k,"Yes, I Understand this is gonna happen everywhere"
1784,No,Will NOT work for them,3,26k to 30k,71k to 90k,No
1785,No,Will NOT work for them,5,21k to 25k,71k to 90k,No
1786,No,Will NOT work for them,5,31k to 40k,111k to 130k,"Yes, I Understand this is gonna happen everywhere"
1787,No,Will NOT work for them,8,31k to 40k,71k to 90k,"Yes, I Understand this is gonna happen everywhere"
1788,Yes,Will NOT work for them,5,41k to 50k,71k to 90k,"Yes, I Understand this is gonna happen everywhere"
1789,Yes,Will NOT work for them,7,21k to 25k,91k to 110k,"Yes, I Understand this is gonna happen everywhere"
1790,No,Will NOT work for them,4,>50k,>151k,No
1791,No,Will NOT work for them,6,>50k,>151k,I have NO other choice
1792,No,Will NOT work for them,7,21k to 25k,91k to 110k,I have NO other choice
1793,No,Will NOT work for them,1,16k to 20k,50k to 70k,No
1794,No,Will NOT work for them,1,26k to 30k,111k to 130k,No
1795,No,Will NOT work for them,4,26k to 30k,71k to 90k,No
1796,No,Will NOT work for them,6,31k to 40k,50k to 70k,"Yes, I Understand this is gonna happen everywhere"
1797,No,Will NOT work for them,10,>50k,>151k,"Yes, I Understand this is gonna happen everywhere"
1798,No,Will NOT work for them,8,>50k,>151k,"Yes, I Understand this is gonna happen everywhere"
1799,Yes,Will NOT work for them,7,26k to 30k,91k to 110k,"Yes, I Understand this is gonna happen everywhere"
1800,No,Will NOT work for them,8,>50k,>151k,No
1801,Yes,Will NOT work for them,6,16k to 20k,30k to 50k,"Yes, I Understand this is gonna happen everywhere"
1802,No,Will NOT work for them,7,31k to 40k,71k to 90k,No
1803,No,Will work for them,9,>50k,111k to 130k,"Yes, I Understand this is gonna happen everywhere"
1804,No,Will NOT work for them,6,>50k,>151k,"Yes, I Understand this is gonna happen everywhere"
1805,No,Will NOT work for them,3,5K to 10K,71k to 90k,Yes
1806,No,Will NOT work for them,4,>50k,111k to 130k,"Yes, I Understand this is gonna happen everywhere"
1807,No,Will NOT work for them,7,>50k,91k to 110k,"Yes, I Understand this is gonna happen everywhere"
1808,No,Will NOT work for them,3,41k to 50k,71k to 90k,Yes
1809,Yes,Will NOT work for them,8,31k to 40k,91k to 110k,"Yes, I Understand this is gonna happen everywhere"
1810,Yes,Will work for them,3,>50k,>151k,Yes
1811,Yes,Will NOT work for them,8,26k to 30k,50k to 70k,"Yes, I Understand this is gonna happen everywhere"
1812,Yes,Will NOT work for them,1,31k to 40k,131k to 150k,"Yes, I Understand this is gonna happen everywhere"
1813,No,Will NOT work for them,4,11k to 15k,71k to 90k,"Yes, I Understand this is gonna happen everywhere"
1814,No,Will NOT work for them,10,21k to 25k,50k to 70k,"Yes, I Understand this is gonna happen everywhere"
1815,No,Will NOT work for them,8,16k to 20k,71k to 90k,"Yes, I Understand this is gonna happen everywhere"
1816,No,Will NOT work for them,6,31k to 40k,131k to 150k,"Yes, I Understand this is gonna happen everywhere"
1817,No,Will NOT work for them,6,>50k,>151k,"Yes, I Understand this is gonna happen everywhere"
1818,Yes,Will work for them,8,26k to 30k,91k to 110k,Yes
1819,Yes,Will NOT work for them,6,>50k,111k to 130k,"Yes, I Understand this is gonna happen everywhere"
1820,Yes,Will work for them,5,31k to 40k,71k to 90k,I have NO other choice
1821,No,Will NOT work for them,1,>50k,>151k,No
1822,No,Will NOT work for them,5,41k to 50k,91k to 110k,I have NO other choice
1823,No,Will NOT work for them,8,21k to 25k,111k to 130k,No
1824,No,Will NOT work for them,8,>50k,>151k,"Yes, I Understand this is gonna happen everywhere"
1825,No,Will NOT work for them,10,26k to 30k,71k to 90k,No
1826,No,Will NOT work for them,8,>50k,>151k,No
1827,No,Will NOT work for them,7,11k to 15k,71k to 90k,No
1828,No,Will NOT work for them,5,21k to 25k,71k to 90k,"Yes, I Understand this is gonna happen everywhere"
1829,No,Will NOT work for them,5,31k to 40k,50k to 70k,No
1830,No,Will NOT work for them,5,>50k,91k to 110k,"Yes, I Understand this is gonna happen everywhere"
1831,No,Will NOT work for them,3,>50k,>151k,No
1832,No,Will NOT work for them,3,21k to 25k,91k to 110k,"Yes, I Understand this is gonna happen everywhere"
1833,No,Will work for them,6,26k to 30k,71k to 90k,No
1834,No,Will NOT work for them,6,>50k,131k to 150k,"Yes, I Understand this is gonna happen everywhere"
1835,No,Will NOT work for them,5,>50k,>151k,"Yes, I Understand this is gonna happen everywhere"
1836,No,Will NOT work for them,10,26k to 30k,71k to 90k,"Yes, I Understand this is gonna happen everywhere"
1837,No,Will NOT work for them,5,>50k,>151k,"Yes, I Understand this is gonna happen everywhere"
1838,No,Will NOT work for them,9,11k to 15k,71k to 90k,"Yes, I Understand this is gonna happen everywhere"
1839,No,Will NOT work for them,5,21k to 25k,71k to 90k,No
1840,Yes,Will work for them,9,31k to 40k,50k to 70k,Yes
1841,No,Will NOT work for them,5,>50k,91k to 110k,"Yes, I Understand this is gonna happen everywhere"
1842,No,Will NOT work for them,3,>50k,>151k,No
1843,No,Will NOT work for them,5,21k to 25k,91k to 110k,"Yes, I Understand this is gonna happen everywhere"
1844,No,Will NOT work for them,5,26k to 30k,71k to 90k,"Yes, I Understand this is gonna happen everywhere"
1845,No,Will NOT work for them,5,>50k,131k to 150k,"Yes, I Understand this is gonna happen everywhere"
1846,No,Will NOT work for them,7,>50k,91k to 110k,"Yes, I Understand this is gonna happen everywhere"
1847,Yes,Will work for them,7,>50k,>151k,Yes
1848,No,Will NOT work for them,5,21k to 25k,91k to 110k,"Yes, I Understand this is gonna happen everywhere"
1849,No,Will NOT work for them,5,26k to 30k,71k to 90k,I have NO other choice
1850,Yes,Will NOT work for them,6,>50k,131k to 150k,Yes
1851,No,Will NOT work for them,1,21k to 25k,91k to 110k,No
1852,Yes,Will work for them,5,31k to 40k,91k to 110k,"Yes, I Understand this is gonna happen everywhere"
1853,No,Will NOT work for them,5,21k to 25k,50k to 70k,No
1854,No,Will NOT work for them,8,21k to 25k,91k to 110k,"Yes, I Understand this is gonna happen everywhere"
1855,No,Will work for them,6,>50k,>151k,"Yes, I Understand this is gonna happen everywhere"
1856,No,Will NOT work for them,7,31k to 40k,71k to 90k,"Yes, I Understand this is gonna happen everywhere"
1857,No,Will NOT work for them,6,26k to 30k,71k to 90k,"Yes, I Understand this is gonna happen everywhere"
1858,No,Will NOT work for them,1,>50k,>151k,Yes
1859,No,Will NOT work for them,4,16k to 20k,50k to 70k,No
1860,No,Will NOT work for them,4,26k to 30k,>151k,"Yes, I Understand this is gonna happen everywhere"
1861,No,Will NOT work for them,7,21k to 25k,71k to 90k,Yes
1862,No,Will NOT work for them,4,21k to 25k,50k to 70k,"Yes, I Understand this is gonna happen everywhere"
1863,No,Will NOT work for them,7,16k to 20k,71k to 90k,"Yes, I Understand this is gonna happen everywhere"
1864,No,Will work for them,10,41k to 50k,91k to 110k,"Yes, I Understand this is gonna happen everywhere"
1865,No,Will work for them,6,41k to 50k,91k to 110k,Yes
1866,No,Will NOT work for them,6,31k to 40k,71k to 90k,No
1867,No,Will NOT work for them,5,16k to 20k,71k to 90k,I have NO other choice
1868,No,Will NOT work for them,4,>50k,111k to 130k,"Yes, I Understand this is gonna happen everywhere"
1869,No,Will NOT work for them,8,31k to 40k,50k to 70k,"Yes, I Understand this is gonna happen everywhere"
1870,No,Will NOT work for them,7,>50k,131k to 150k,"Yes, I Understand this is gonna happen everywhere"
1871,No,Will NOT work for them,7,26k to 30k,50k to 70k,No
1872,No,Will NOT work for them,1,>50k,>151k,"Yes, I Understand this is gonna happen everywhere"
1873,Yes,Will work for them,5,>50k,111k to 130k,"Yes, I Understand this is gonna happen everywhere"
1874,No,Will NOT work for them,8,41k to 50k,131k to 150k,"Yes, I Understand this is gonna happen everywhere"
1875,No,Will work for them,9,16k to 20k,30k to 50k,I have NO other choice
1876,No,Will NOT work for them,6,>50k,>151k,No
1877,Yes,Will work for them,7,31k to 40k,131k to 150k,"Yes, I Understand this is gonna happen everywhere"
1878,No,Will NOT work for them,10,21k to 25k,111k to 130k,I have NO other choice
