Response ID,Which of the below factors influence the most about your career aspirations ?,Would you definitely pursue a Higher Education / Post Graduation outside of India ? If only you have to self sponsor it.,What is the most preferred working environment for you.,Your Current Zip Code / Pin Code,"Which of the below careers looks close to your Aspirational job ?
"
1383,"""People from my circle"," but not family members""",No I would not be pursuing Higher Education outside of India,Hybrid Working Environment with less than 3 days a month at office,530072
1384,My Parents,No I would not be pursuing Higher Education outside of India,Fully Remote with Options to travel as and when needed,530001,"""Design and Creative strategy in any company"
1385,People who have changed the world for better,"""No"," But if someone could bare the cost I will""",Every Day Office Environment,502032
1386,My Parents,"""No"," But if someone could bare the cost I will""",Fully Remote with Options to travel as and when needed,533201
1387,People who have changed the world for better,"""Yes"," I will earn and do that""",Hybrid Working Environment with more than 15 days a month at office,607803
1388,People who have changed the world for better,"""Yes"," I will earn and do that""",Fully Remote with Options to travel as and when needed,560094
1389,People who have changed the world for better,"""Yes"," I will earn and do that""",Fully Remote with Options to travel as and when needed,509334
1390,"""People from my circle"," but not family members""",No I would not be pursuing Higher Education outside of India,Fully Remote with Options to travel as and when needed,531034
1391,My Parents,No I would not be pursuing Higher Education outside of India,Fully Remote with Options to travel as and when needed,500085,"""Teaching in any of the institutes/colleges/online or offline"
1392,My Parents,No I would not be pursuing Higher Education outside of India,Every Day Office Environment,760001,"""Teaching in any of the institutes/colleges/online or offline"
1393,People who have changed the world for better,"""No"," But if someone could bare the cost I will""",Hybrid Working Environment with more than 15 days a month at office,410210
1394,"""People from my circle"," but not family members""","""Yes"," I will earn and do that""",Hybrid Working Environment with more than 15 days a month at office
1395,People who have changed the world for better,"""No"," But if someone could bare the cost I will""",Fully Remote with Options to travel as and when needed,560073
1396,"""People from my circle"," but not family members""",No I would not be pursuing Higher Education outside of India,Fully Remote with Options to travel as and when needed,503110
1397,Social Media like LinkedIn,"""Yes"," I will earn and do that""",Every Day Office Environment,400601
1398,"""People from my circle"," but not family members""","""Yes"," I will earn and do that""",Every Day Office Environment
1399,My Parents,"""No"," But if someone could bare the cost I will""",Hybrid Working Environment with more than 15 days a month at office,560003
1400,Social Media like LinkedIn,"""No"," But if someone could bare the cost I will""",Fully Remote with No option to visit offices,500028
1401,Influencers who had successful careers,"""Yes"," I will earn and do that""",Hybrid Working Environment with less than 3 days a month at office,424001
1402,My Parents,"""Yes"," I will earn and do that""",Hybrid Working Environment with more than 15 days a month at office,500077
1403,People who have changed the world for better,No I would not be pursuing Higher Education outside of India,Hybrid Working Environment with more than 15 days a month at office,600041,"""Manage and drive End-to-End Projects or Products"
1404,People who have changed the world for better,"""Yes"," I will earn and do that""",Every Day Office Environment,560090
1405,People who have changed the world for better,"""No"," But if someone could bare the cost I will""",Fully Remote with No option to visit offices,500028
1406,"""People from my circle"," but not family members""",No I would not be pursuing Higher Education outside of India,Hybrid Working Environment with more than 15 days a month at office,492001
1407,My Parents,"""No"," But if someone could bare the cost I will""",Fully Remote with Options to travel as and when needed,191101
1408,People who have changed the world for better,"""Yes"," I will earn and do that""",Fully Remote with Options to travel as and when needed,500028
1409,My Parents,"""Yes"," I will earn and do that""",Fully Remote with No option to visit offices,563125
1410,My Parents,"""Yes"," I will earn and do that""",Every Day Office Environment,110044
1411,Influencers who had successful careers,No I would not be pursuing Higher Education outside of India,Fully Remote with Options to travel as and when needed,505209,"""Design and Creative strategy in any company"
1412,People who have changed the world for better,"""Yes"," I will earn and do that""",Every Day Office Environment,505211
1413,Social Media like LinkedIn,"""Yes"," I will earn and do that""",Hybrid Working Environment with less than 3 days a month at office,713103
1414,People who have changed the world for better,"""Yes"," I will earn and do that""",Hybrid Working Environment with more than 15 days a month at office,411014
1415,"""People from my circle"," but not family members""",No I would not be pursuing Higher Education outside of India,Fully Remote with Options to travel as and when needed,68
1416,Influencers who had successful careers,"""Yes"," I will earn and do that""",Hybrid Working Environment with more than 15 days a month at office,411032
1417,"""People from my circle"," but not family members""","""Yes"," I will earn and do that""",Hybrid Working Environment with more than 15 days a month at office
1418,People who have changed the world for better,"""Yes"," I will earn and do that""",Every Day Office Environment,841221
1419,My Parents,"""No"," But if someone could bare the cost I will""",Every Day Office Environment,803302
1420,"""People from my circle"," but not family members""",No I would not be pursuing Higher Education outside of India,Every Day Office Environment,201310
1421,"""People from my circle"," but not family members""","""No"," But if someone could bare the cost I will""",Fully Remote with No option to visit offices
1422,My Parents,"""No"," But if someone could bare the cost I will""",Fully Remote with No option to visit offices,803302
1423,Influencers who had successful careers,"""No"," But if someone could bare the cost I will""",Hybrid Working Environment with more than 15 days a month at office,600073
1424,My Parents,"""No"," But if someone could bare the cost I will""",Fully Remote with Options to travel as and when needed,803303
1425,People who have changed the world for better,No I would not be pursuing Higher Education outside of India,Hybrid Working Environment with more than 15 days a month at office,247667,"""Teaching in any of the institutes/colleges/online or offline"
1426,Social Media like LinkedIn,"""No"," But if someone could bare the cost I will""",Hybrid Working Environment with more than 15 days a month at office,201310
1427,People who have changed the world for better,"""Yes"," I will earn and do that""",Hybrid Working Environment with less than 3 days a month at office,201310
1428,My Parents,No I would not be pursuing Higher Education outside of India,Every Day Office Environment,440013,"""Teaching in any of the institutes/colleges/online or offline"
1429,Social Media like LinkedIn,"""Yes"," I will earn and do that""",Fully Remote with Options to travel as and when needed,246174
1430,Influencers who had successful careers,"""Yes"," I will earn and do that""",Every Day Office Environment,452010
1431,My Parents,"""Yes"," I will earn and do that""",Hybrid Working Environment with more than 15 days a month at office,411007
1432,People who have changed the world for better,No I would not be pursuing Higher Education outside of India,Every Day Office Environment,606603,"""Teaching in any of the institutes/colleges/online or offline"
1433,Influencers who had successful careers,No I would not be pursuing Higher Education outside of India,Fully Remote with Options to travel as and when needed,500072,"""Design and Creative strategy in any company"
1434,My Parents,"""No"," But if someone could bare the cost I will""",Fully Remote with Options to travel as and when needed,411044
1435,People who have changed the world for better,No I would not be pursuing Higher Education outside of India,Hybrid Working Environment with more than 15 days a month at office,560075,"""Design and Creative strategy in any company"
1436,My Parents,No I would not be pursuing Higher Education outside of India,Every Day Office Environment,411014,"""Teaching in any of the institutes/colleges/online or offline"
1437,Influencers who had successful careers,"""Yes"," I will earn and do that""",Hybrid Working Environment with more than 15 days a month at office,92
1438,My Parents,"""Yes"," I will earn and do that""",Hybrid Working Environment with more than 15 days a month at office,765022
1439,People who have changed the world for better,"""Yes"," I will earn and do that""",Hybrid Working Environment with more than 15 days a month at office,530051
1440,"""People from my circle"," but not family members""","""No"," But if someone could bare the cost I will""",Fully Remote with Options to travel as and when needed
1441,People who have changed the world for better,"""Yes"," I will earn and do that""",Hybrid Working Environment with less than 3 days a month at office,600015
1442,My Parents,"""No"," But if someone could bare the cost I will""",Hybrid Working Environment with more than 15 days a month at office,560090
1443,Social Media like LinkedIn,"""Yes"," I will earn and do that""",Hybrid Working Environment with more than 15 days a month at office,410206
1444,People who have changed the world for better,"""Yes"," I will earn and do that""",Hybrid Working Environment with more than 15 days a month at office,562107
1445,My Parents,"""Yes"," I will earn and do that""",Every Day Office Environment,638004
1446,"""People from my circle"," but not family members""","""Yes"," I will earn and do that""",Fully Remote with Options to travel as and when needed
1447,"""People from my circle"," but not family members""","""No"," But if someone could bare the cost I will""",Hybrid Working Environment with more than 15 days a month at office
1448,My Parents,"""Yes"," I will earn and do that""",Fully Remote with Options to travel as and when needed,500001
1449,People who have changed the world for better,"""Yes"," I will earn and do that""",Hybrid Working Environment with less than 3 days a month at office,247667
1450,My Parents,"""No"," But if someone could bare the cost I will""",Hybrid Working Environment with more than 15 days a month at office,500016
1451,"""People from my circle"," but not family members""",No I would not be pursuing Higher Education outside of India,Hybrid Working Environment with more than 15 days a month at office,560064
1452,Influencers who had successful careers,"""No"," But if someone could bare the cost I will""",Hybrid Working Environment with less than 3 days a month at office,695033
1453,My Parents,"""Yes"," I will earn and do that""",Fully Remote with Options to travel as and when needed,500008
1454,My Parents,"""No"," But if someone could bare the cost I will""",Fully Remote with Options to travel as and when needed,500043
1455,People who have changed the world for better,No I would not be pursuing Higher Education outside of India,Hybrid Working Environment with more than 15 days a month at office,500088,"""Design and Creative strategy in any company"
1456,My Parents,No I would not be pursuing Higher Education outside of India,Hybrid Working Environment with less than 3 days a month at office,505460,"""Manage and drive End-to-End Projects or Products"
1457,"""People from my circle"," but not family members""","""No"," But if someone could bare the cost I will""",Fully Remote with Options to travel as and when needed
1458,My Parents,"""Yes"," I will earn and do that""",Every Day Office Environment,508234
1459,My Parents,No I would not be pursuing Higher Education outside of India,Hybrid Working Environment with more than 15 days a month at office,224135,"""Business Operations in any organization"
1460,People who have changed the world for better,No I would not be pursuing Higher Education outside of India,Every Day Office Environment,641006,"""Design and Creative strategy in any company"
1461,My Parents,"""Yes"," I will earn and do that""",Hybrid Working Environment with more than 15 days a month at office,201306
1462,Social Media like LinkedIn,No I would not be pursuing Higher Education outside of India,Every Day Office Environment,110092,"""Business Operations in any organization"
1463,People who have changed the world for better,"""Yes"," I will earn and do that""",Hybrid Working Environment with less than 3 days a month at office,201301
1464,Social Media like LinkedIn,"""Yes"," I will earn and do that""",Every Day Office Environment,628552
1465,Social Media like LinkedIn,"""Yes"," I will earn and do that""",Hybrid Working Environment with more than 15 days a month at office,110096
1466,Social Media like LinkedIn,"""Yes"," I will earn and do that""",Every Day Office Environment,201301
1467,Social Media like LinkedIn,"""Yes"," I will earn and do that""",Hybrid Working Environment with less than 3 days a month at office,201301
1468,Social Media like LinkedIn,"""Yes"," I will earn and do that""",Fully Remote with Options to travel as and when needed,110092
1469,"""People from my circle"," but not family members""","""No"," But if someone could bare the cost I will""",Fully Remote with Options to travel as and when needed
1470,My Parents,"""Yes"," I will earn and do that""",Hybrid Working Environment with more than 15 days a month at office,121003
1471,"""People from my circle"," but not family members""","""Yes"," I will earn and do that""",Fully Remote with Options to travel as and when needed
1472,People who have changed the world for better,"""Yes"," I will earn and do that""",Hybrid Working Environment with more than 15 days a month at office,743127
1473,Influencers who had successful careers,"""No"," But if someone could bare the cost I will""",Fully Remote with Options to travel as and when needed,587102
1474,My Parents,"""No"," But if someone could bare the cost I will""",Fully Remote with Options to travel as and when needed,500008
1475,People who have changed the world for better,No I would not be pursuing Higher Education outside of India,Fully Remote with Options to travel as and when needed,147003,"""Design and Creative strategy in any company"
1476,My Parents,No I would not be pursuing Higher Education outside of India,Every Day Office Environment,600087,"""Manage and drive End-to-End Projects or Products"
1477,Social Media like LinkedIn,"""Yes"," I will earn and do that""",Fully Remote with Options to travel as and when needed,452002
1478,People who have changed the world for better,"""No"," But if someone could bare the cost I will""",Fully Remote with Options to travel as and when needed,147001
1479,Influencers who had successful careers,"""Yes"," I will earn and do that""",Hybrid Working Environment with less than 3 days a month at office,452007
1480,My Parents,No I would not be pursuing Higher Education outside of India,Hybrid Working Environment with more than 15 days a month at office,560039,"""Business Operations in any organization"
1481,People who have changed the world for better,"""No"," But if someone could bare the cost I will""",Hybrid Working Environment with more than 15 days a month at office,571401
1482,"""People from my circle"," but not family members""","""Yes"," I will earn and do that""",Fully Remote with No option to visit offices
1483,My Parents,No I would not be pursuing Higher Education outside of India,Hybrid Working Environment with more than 15 days a month at office,560073,"""Business Operations in any organization"
1484,"""People from my circle"," but not family members""",No I would not be pursuing Higher Education outside of India,Every Day Office Environment,560068
1485,"""People from my circle"," but not family members""",No I would not be pursuing Higher Education outside of India,Every Day Office Environment,201301
1486,Influencers who had successful careers,No I would not be pursuing Higher Education outside of India,Every Day Office Environment,571128,"""Design and Develop amazing software"
1487,My Parents,"""Yes"," I will earn and do that""",Fully Remote with No option to visit offices,208017
1488,"""People from my circle"," but not family members""",No I would not be pursuing Higher Education outside of India,Every Day Office Environment,201301
1489,People who have changed the world for better,No I would not be pursuing Higher Education outside of India,Hybrid Working Environment with more than 15 days a month at office,146109,"""Design and Creative strategy in any company"
1490,People who have changed the world for better,"""Yes"," I will earn and do that""",Hybrid Working Environment with more than 15 days a month at office,731204
1491,Social Media like LinkedIn,"""No"," But if someone could bare the cost I will""",Hybrid Working Environment with more than 15 days a month at office,454775
1492,"""People from my circle"," but not family members""","""No"," But if someone could bare the cost I will""",Hybrid Working Environment with less than 3 days a month at office
1493,Social Media like LinkedIn,"""No"," But if someone could bare the cost I will""",Hybrid Working Environment with less than 3 days a month at office,122052
1494,My Parents,"""Yes"," I will earn and do that""",Hybrid Working Environment with more than 15 days a month at office,560048
1495,My Parents,"""No"," But if someone could bare the cost I will""",Fully Remote with Options to travel as and when needed,440023
1496,My Parents,"""No"," But if someone could bare the cost I will""",Fully Remote with Options to travel as and when needed,560093
1497,My Parents,"""Yes"," I will earn and do that""",Fully Remote with Options to travel as and when needed,431122
1498,My Parents,"""Yes"," I will earn and do that""",Hybrid Working Environment with less than 3 days a month at office,530068
1499,My Parents,"""No"," But if someone could bare the cost I will""",Hybrid Working Environment with more than 15 days a month at office,313002
1500,"""People from my circle"," but not family members""","""Yes"," I will earn and do that""",Every Day Office Environment
1501,My Parents,"""No"," But if someone could bare the cost I will""",Hybrid Working Environment with more than 15 days a month at office,600097
1502,My Parents,No I would not be pursuing Higher Education outside of India,Hybrid Working Environment with more than 15 days a month at office,421301,"""Business Operations in any organization"
1503,My Parents,"""Yes"," I will earn and do that""",Hybrid Working Environment with more than 15 days a month at office,400102
1504,People who have changed the world for better,No I would not be pursuing Higher Education outside of India,Hybrid Working Environment with more than 15 days a month at office,92,"""Design and Creative strategy in any company"
1505,My Parents,"""Yes"," I will earn and do that""",Hybrid Working Environment with more than 15 days a month at office,
1506,My Parents,No I would not be pursuing Higher Education outside of India,Hybrid Working Environment with more than 15 days a month at office,400008,"""Build and develop a Team"
1507,People who have changed the world for better,"""Yes"," I will earn and do that""",Every Day Office Environment,410206
1508,"""People from my circle"," but not family members""",No I would not be pursuing Higher Education outside of India,Hybrid Working Environment with more than 15 days a month at office,242401
1509,"""People from my circle"," but not family members""","""No"," But if someone could bare the cost I will""",Hybrid Working Environment with more than 15 days a month at office
1510,My Parents,No I would not be pursuing Higher Education outside of India,Hybrid Working Environment with less than 3 days a month at office,500090,"""Design and Creative strategy in any company"
1511,"""People from my circle"," but not family members""","""Yes"," I will earn and do that""",Hybrid Working Environment with more than 15 days a month at office
1512,"""People from my circle"," but not family members""","""Yes"," I will earn and do that""",Hybrid Working Environment with less than 3 days a month at office
1513,Influencers who had successful careers,"""Yes"," I will earn and do that""",Fully Remote with Options to travel as and when needed,421103
1514,People who have changed the world for better,No I would not be pursuing Higher Education outside of India,Fully Remote with Options to travel as and when needed,751012,"""Business Operations in any organization"
1515,People who have changed the world for better,"""Yes"," I will earn and do that""",Hybrid Working Environment with more than 15 days a month at office,560107
1516,Social Media like LinkedIn,No I would not be pursuing Higher Education outside of India,Hybrid Working Environment with less than 3 days a month at office,590005,"""Design and Creative strategy in any company"
1517,"""People from my circle"," but not family members""",No I would not be pursuing Higher Education outside of India,Every Day Office Environment,533201
1518,"""People from my circle"," but not family members""",No I would not be pursuing Higher Education outside of India,Every Day Office Environment,560038
1519,My Parents,No I would not be pursuing Higher Education outside of India,Fully Remote with Options to travel as and when needed,400103,"""Business Operations in any organization"
1520,"""People from my circle"," but not family members""",No I would not be pursuing Higher Education outside of India,Fully Remote with Options to travel as and when needed,410210
1521,My Parents,No I would not be pursuing Higher Education outside of India,Every Day Office Environment,400709,"""Business Operations in any organization"
1522,"""People from my circle"," but not family members""",No I would not be pursuing Higher Education outside of India,Hybrid Working Environment with more than 15 days a month at office,147003
1523,Social Media like LinkedIn,"""Yes"," I will earn and do that""",Hybrid Working Environment with more than 15 days a month at office,456010
1524,People who have changed the world for better,"""Yes"," I will earn and do that""",Fully Remote with Options to travel as and when needed,142026
1525,Influencers who had successful careers,"""No"," But if someone could bare the cost I will""",Fully Remote with Options to travel as and when needed,605004
1526,My Parents,"""No"," But if someone could bare the cost I will""",Fully Remote with No option to visit offices,456010
1527,My Parents,"""Yes"," I will earn and do that""",Every Day Office Environment,456006
1528,"""People from my circle"," but not family members""",No I would not be pursuing Higher Education outside of India,Fully Remote with Options to travel as and when needed,452010
1529,My Parents,"""Yes"," I will earn and do that""",Hybrid Working Environment with less than 3 days a month at office,456010
1530,People who have changed the world for better,"""Yes"," I will earn and do that""",Fully Remote with Options to travel as and when needed,721302
1531,My Parents,"""Yes"," I will earn and do that""",Hybrid Working Environment with less than 3 days a month at office,731130
1532,Influencers who had successful careers,"""Yes"," I will earn and do that""",Hybrid Working Environment with less than 3 days a month at office,600049
1533,"""People from my circle"," but not family members""",No I would not be pursuing Higher Education outside of India,Hybrid Working Environment with more than 15 days a month at office,781014
1534,"""People from my circle"," but not family members""","""Yes"," I will earn and do that""",Hybrid Working Environment with more than 15 days a month at office
1535,Social Media like LinkedIn,No I would not be pursuing Higher Education outside of India,Hybrid Working Environment with more than 15 days a month at office,110006,"""Business Operations in any organization"
1536,Influencers who had successful careers,"""Yes"," I will earn and do that""",Fully Remote with Options to travel as and when needed,452009
1537,People who have changed the world for better,"""No"," But if someone could bare the cost I will""",Fully Remote with Options to travel as and when needed,456010
1538,"""People from my circle"," but not family members""","""Yes"," I will earn and do that""",Fully Remote with Options to travel as and when needed
1539,"""People from my circle"," but not family members""","""Yes"," I will earn and do that""",Every Day Office Environment
1540,Social Media like LinkedIn,"""Yes"," I will earn and do that""",Hybrid Working Environment with more than 15 days a month at office,641183
1541,"""People from my circle"," but not family members""","""Yes"," I will earn and do that""",Hybrid Working Environment with less than 3 days a month at office
1542,"""People from my circle"," but not family members""",No I would not be pursuing Higher Education outside of India,Fully Remote with No option to visit offices,533201
1543,My Parents,"""No"," But if someone could bare the cost I will""",Every Day Office Environment,456010
1544,My Parents,"""No"," But if someone could bare the cost I will""",Hybrid Working Environment with more than 15 days a month at office,122008
1545,Influencers who had successful careers,"""Yes"," I will earn and do that""",Hybrid Working Environment with more than 15 days a month at office,160062
1546,My Parents,"""No"," But if someone could bare the cost I will""",Hybrid Working Environment with more than 15 days a month at office,400703
1547,My Parents,"""Yes"," I will earn and do that""",Fully Remote with Options to travel as and when needed,110019
1548,My Parents,"""Yes"," I will earn and do that""",Hybrid Working Environment with more than 15 days a month at office,410206
1549,My Parents,"""No"," But if someone could bare the cost I will""",Every Day Office Environment,533262
1550,"""People from my circle"," but not family members""",No I would not be pursuing Higher Education outside of India,Fully Remote with Options to travel as and when needed,400050
1551,People who have changed the world for better,No I would not be pursuing Higher Education outside of India,Hybrid Working Environment with more than 15 days a month at office,700118,"""Design and Creative strategy in any company"
1552,Influencers who had successful careers,"""No"," But if someone could bare the cost I will""",Hybrid Working Environment with more than 15 days a month at office,605010
1553,People who have changed the world for better,"""No"," But if someone could bare the cost I will""",Fully Remote with Options to travel as and when needed,2145
1554,My Parents,No I would not be pursuing Higher Education outside of India,Every Day Office Environment,600004,"""Design and Creative strategy in any company"
1555,"""People from my circle"," but not family members""","""Yes"," I will earn and do that""",Every Day Office Environment
1556,"""People from my circle"," but not family members""","""Yes"," I will earn and do that""",Hybrid Working Environment with more than 15 days a month at office
1557,"""People from my circle"," but not family members""",No I would not be pursuing Higher Education outside of India,Fully Remote with Options to travel as and when needed,500003
1558,My Parents,"""No"," But if someone could bare the cost I will""",Hybrid Working Environment with more than 15 days a month at office,160062
1559,People who have changed the world for better,"""Yes"," I will earn and do that""",Hybrid Working Environment with less than 3 days a month at office,505001
1560,Social Media like LinkedIn,"""No"," But if someone could bare the cost I will""",Fully Remote with Options to travel as and when needed,160062
1561,"""People from my circle"," but not family members""",No I would not be pursuing Higher Education outside of India,Hybrid Working Environment with less than 3 days a month at office,533262
1562,My Parents,"""No"," But if someone could bare the cost I will""",Every Day Office Environment,505001
1563,My Parents,"""Yes"," I will earn and do that""",Fully Remote with Options to travel as and when needed,533005
1564,My Parents,"""Yes"," I will earn and do that""",Fully Remote with Options to travel as and when needed,500026
1565,My Parents,"""Yes"," I will earn and do that""",Every Day Office Environment,533262
1566,People who have changed the world for better,No I would not be pursuing Higher Education outside of India,Hybrid Working Environment with less than 3 days a month at office,110060,"""Work as a freelancer and do my thing my way"
1567,My Parents,"""Yes"," I will earn and do that""",Every Day Office Environment,500009
1568,My Parents,"""No"," But if someone could bare the cost I will""",Every Day Office Environment,500057
1569,Influencers who had successful careers,"""No"," But if someone could bare the cost I will""",Hybrid Working Environment with more than 15 days a month at office,500083
1570,People who have changed the world for better,No I would not be pursuing Higher Education outside of India,Hybrid Working Environment with more than 15 days a month at office,411028,"""Teaching in any of the institutes/colleges/online or offline"
1571,"""People from my circle"," but not family members""","""No"," But if someone could bare the cost I will""",Hybrid Working Environment with more than 15 days a month at office
1572,My Parents,No I would not be pursuing Higher Education outside of India,Fully Remote with No option to visit offices,505001,"""Design and Creative strategy in any company"
1573,My Parents,"""Yes"," I will earn and do that""",Hybrid Working Environment with more than 15 days a month at office,500029
1574,My Parents,"""Yes"," I will earn and do that""",Fully Remote with Options to travel as and when needed,500094
1575,People who have changed the world for better,No I would not be pursuing Higher Education outside of India,Fully Remote with No option to visit offices,522501,"""Teaching in any of the institutes/colleges/online or offline"
1576,My Parents,"""Yes"," I will earn and do that""",Fully Remote with No option to visit offices,125111
1577,People who have changed the world for better,No I would not be pursuing Higher Education outside of India,Hybrid Working Environment with more than 15 days a month at office,505524,"""Design and Creative strategy in any company"
1578,"""People from my circle"," but not family members""","""No"," But if someone could bare the cost I will""",Hybrid Working Environment with less than 3 days a month at office
1579,Influencers who had successful careers,"""Yes"," I will earn and do that""",Hybrid Working Environment with more than 15 days a month at office,508101
1580,My Parents,No I would not be pursuing Higher Education outside of India,Hybrid Working Environment with more than 15 days a month at office,452001,"""Design and Creative strategy in any company"
1581,"""People from my circle"," but not family members""","""Yes"," I will earn and do that""",Hybrid Working Environment with more than 15 days a month at office
1582,"""People from my circle"," but not family members""","""No"," But if someone could bare the cost I will""",Hybrid Working Environment with more than 15 days a month at office
1583,My Parents,No I would not be pursuing Higher Education outside of India,Hybrid Working Environment with less than 3 days a month at office,500011,"""Design and Creative strategy in any company"
1584,"""People from my circle"," but not family members""","""No"," But if someone could bare the cost I will""",Hybrid Working Environment with more than 15 days a month at office
1585,"""People from my circle"," but not family members""",No I would not be pursuing Higher Education outside of India,Hybrid Working Environment with more than 15 days a month at office,500062
1586,My Parents,"""Yes"," I will earn and do that""",Hybrid Working Environment with less than 3 days a month at office,
1587,People who have changed the world for better,"""Yes"," I will earn and do that""",Hybrid Working Environment with more than 15 days a month at office,421201
1588,My Parents,"""No"," But if someone could bare the cost I will""",Hybrid Working Environment with more than 15 days a month at office,
1589,"""People from my circle"," but not family members""","""Yes"," I will earn and do that""",Every Day Office Environment
1590,Influencers who had successful careers,"""Yes"," I will earn and do that""",Fully Remote with Options to travel as and when needed,462042
1591,"""People from my circle"," but not family members""","""Yes"," I will earn and do that""",Hybrid Working Environment with more than 15 days a month at office
1592,My Parents,No I would not be pursuing Higher Education outside of India,Hybrid Working Environment with more than 15 days a month at office,110008,"""Teaching in any of the institutes/colleges/online or offline"
1593,My Parents,No I would not be pursuing Higher Education outside of India,Fully Remote with Options to travel as and when needed,533005,"""Design and Creative strategy in any company"
1594,Influencers who had successful careers,"""Yes"," I will earn and do that""",Every Day Office Environment,
1595,My Parents,"""Yes"," I will earn and do that""",Every Day Office Environment,78363
1596,People who have changed the world for better,"""Yes"," I will earn and do that""",Every Day Office Environment,
1597,My Parents,"""Yes"," I will earn and do that""",Hybrid Working Environment with more than 15 days a month at office,509301
1598,People who have changed the world for better,"""No"," But if someone could bare the cost I will""",Hybrid Working Environment with less than 3 days a month at office,110027
1599,Influencers who had successful careers,No I would not be pursuing Higher Education outside of India,Fully Remote with Options to travel as and when needed,581301,"""Design and Creative strategy in any company"
1600,People who have changed the world for better,"""Yes"," I will earn and do that""",Hybrid Working Environment with more than 15 days a month at office,110027
1601,Influencers who had successful careers,"""Yes"," I will earn and do that""",Hybrid Working Environment with less than 3 days a month at office,201002
1602,My Parents,No I would not be pursuing Higher Education outside of India,Every Day Office Environment,43002,"""Design and Creative strategy in any company"
1603,People who have changed the world for better,"""Yes"," I will earn and do that""",Fully Remote with Options to travel as and when needed,110003
1604,People who have changed the world for better,"""Yes"," I will earn and do that""",Hybrid Working Environment with more than 15 days a month at office,
1605,Influencers who had successful careers,"""Yes"," I will earn and do that""",Every Day Office Environment,500072
1606,My Parents,"""Yes"," I will earn and do that""",Hybrid Working Environment with more than 15 days a month at office,495001
1607,"""People from my circle"," but not family members""","""No"," But if someone could bare the cost I will""",Fully Remote with Options to travel as and when needed
1608,"""People from my circle"," but not family members""",No I would not be pursuing Higher Education outside of India,Hybrid Working Environment with more than 15 days a month at office,473001
1609,"""People from my circle"," but not family members""","""No"," But if someone could bare the cost I will""",Hybrid Working Environment with less than 3 days a month at office
1610,People who have changed the world for better,"""No"," But if someone could bare the cost I will""",Hybrid Working Environment with more than 15 days a month at office,27606
1611,Social Media like LinkedIn,No I would not be pursuing Higher Education outside of India,Every Day Office Environment,721302,"""Design and Creative strategy in any company"
1612,People who have changed the world for better,No I would not be pursuing Higher Education outside of India,Hybrid Working Environment with less than 3 days a month at office,452001,"""Business Operations in any organization"
1613,Social Media like LinkedIn,No I would not be pursuing Higher Education outside of India,Fully Remote with Options to travel as and when needed,828302,"""Design and Creative strategy in any company"
1614,My Parents,"""Yes"," I will earn and do that""",Every Day Office Environment,505001
1615,"""People from my circle"," but not family members""","""Yes"," I will earn and do that""",Hybrid Working Environment with more than 15 days a month at office
1616,My Parents,"""Yes"," I will earn and do that""",Hybrid Working Environment with less than 3 days a month at office,515002
1617,My Parents,No I would not be pursuing Higher Education outside of India,Fully Remote with Options to travel as and when needed,518003,"""Design and Creative strategy in any company"
1618,My Parents,"""Yes"," I will earn and do that""",Every Day Office Environment,524004
1619,My Parents,No I would not be pursuing Higher Education outside of India,Every Day Office Environment,516434,"""Manage and drive End-to-End Projects or Products"
1620,People who have changed the world for better,No I would not be pursuing Higher Education outside of India,Hybrid Working Environment with more than 15 days a month at office,,"""Business Operations in any organization"
1621,Social Media like LinkedIn,"""Yes"," I will earn and do that""",Hybrid Working Environment with more than 15 days a month at office,500045
1622,Influencers who had successful careers,"""No"," But if someone could bare the cost I will""",Hybrid Working Environment with less than 3 days a month at office,751002
1623,People who have changed the world for better,"""Yes"," I will earn and do that""",Fully Remote with Options to travel as and when needed,505001
1624,My Parents,"""Yes"," I will earn and do that""",Hybrid Working Environment with more than 15 days a month at office,600089
1625,Influencers who had successful careers,"""Yes"," I will earn and do that""",Fully Remote with Options to travel as and when needed,470001
1626,My Parents,"""Yes"," I will earn and do that""",Hybrid Working Environment with more than 15 days a month at office,18
1627,"""People from my circle"," but not family members""","""Yes"," I will earn and do that""",Hybrid Working Environment with less than 3 days a month at office
1628,People who have changed the world for better,No I would not be pursuing Higher Education outside of India,Hybrid Working Environment with less than 3 days a month at office,605003,"""Business Operations in any organization"
1629,Social Media like LinkedIn,"""Yes"," I will earn and do that""",Hybrid Working Environment with less than 3 days a month at office,
1630,Influencers who had successful careers,"""Yes"," I will earn and do that""",Hybrid Working Environment with more than 15 days a month at office,110007
1631,Influencers who had successful careers,No I would not be pursuing Higher Education outside of India,Fully Remote with Options to travel as and when needed,110062,"""Design and Creative strategy in any company"
1632,My Parents,"""No"," But if someone could bare the cost I will""",Every Day Office Environment,473001
1633,My Parents,"""No"," But if someone could bare the cost I will""",Hybrid Working Environment with less than 3 days a month at office,505460
1634,My Parents,"""Yes"," I will earn and do that""",Hybrid Working Environment with more than 15 days a month at office,110006
1635,"""People from my circle"," but not family members""","""No"," But if someone could bare the cost I will""",Hybrid Working Environment with more than 15 days a month at office
1636,My Parents,No I would not be pursuing Higher Education outside of India,Fully Remote with No option to visit offices,160002,"""Design and Creative strategy in any company"
