Response ID,Which of the below factors influence the most about your career aspirations ?,Would you definitely pursue a Higher Education / Post Graduation outside of India ? If only you have to self sponsor it.,What is the most preferred working environment for you.,Your Current Zip Code / Pin Code,"Which of the below careers looks close to your Aspirational job ?
"
591,"""People from my circle"," but not family members""","""Yes"," I will earn and do that""",Hybrid Working Environment with more than 15 days a month at office
592,Influencers who had successful careers,"""No"," But if someone could bare the cost I will""",Hybrid Working Environment with less than 3 days a month at office,641062
593,"""People from my circle"," but not family members""",No I would not be pursuing Higher Education outside of India,Fully Remote with Options to travel as and when needed,793002
594,"""People from my circle"," but not family members""",No I would not be pursuing Higher Education outside of India,Hybrid Working Environment with less than 3 days a month at office,122022
595,People who have changed the world for better,No I would not be pursuing Higher Education outside of India,Fully Remote with Options to travel as and when needed,110059,"""Design and Creative strategy in any company"
596,Influencers who had successful careers,No I would not be pursuing Higher Education outside of India,Hybrid Working Environment with less than 3 days a month at office,620002,"""Design and Creative strategy in any company"
597,"""People from my circle"," but not family members""",No I would not be pursuing Higher Education outside of India,Hybrid Working Environment with more than 15 days a month at office,641028
598,My Parents,"""Yes"," I will earn and do that""",Hybrid Working Environment with less than 3 days a month at office,632515
599,People who have changed the world for better,"""Yes"," I will earn and do that""",Hybrid Working Environment with more than 15 days a month at office,620017
600,Social Media like LinkedIn,"""Yes"," I will earn and do that""",Fully Remote with Options to travel as and when needed,574106
601,"""People from my circle"," but not family members""",No I would not be pursuing Higher Education outside of India,Fully Remote with Options to travel as and when needed,752050
602,My Parents,"""Yes"," I will earn and do that""",Every Day Office Environment,781015
603,Influencers who had successful careers,"""Yes"," I will earn and do that""",Hybrid Working Environment with less than 3 days a month at office,380008
604,People who have changed the world for better,"""No"," But if someone could bare the cost I will""",Fully Remote with Options to travel as and when needed,600073
605,Influencers who had successful careers,"""Yes"," I will earn and do that""",Every Day Office Environment,620001
606,Influencers who had successful careers,"""Yes"," I will earn and do that""",Every Day Office Environment,401202
607,My Parents,"""Yes"," I will earn and do that""",Every Day Office Environment,620102
608,My Parents,"""Yes"," I will earn and do that""",Hybrid Working Environment with more than 15 days a month at office,560037
609,My Parents,No I would not be pursuing Higher Education outside of India,Every Day Office Environment,400053,"""Teaching in any of the institutes/colleges/online or offline"
610,People who have changed the world for better,"""Yes"," I will earn and do that""",Fully Remote with Options to travel as and when needed,620002
